name,score
英雄无敌7,8.3
星际2：虚空之遗,9.5
爱丽丝：疯狂回归,8.8
吞食孔明传,--
地铁：归来,9.3
暗黑血统4,--
尼内岛大逃杀,9.4
幸福管家,--
建筑模拟2015,9.5
质量效应,8.7
KOF2002UM,9.0
使命召唤,8.4
泰坦之旅：不朽王座,8.7
极限竞速5,8.2
进化之地2,8.5
消逝的光芒：邪恶之血,7.7
细胞分裂5：断罪,9.0
生存法则,--
正当防卫GO,--
神秘海域2,9.5
维京人人中之狼,7.1
杀手7,--
星球基地,8.8
火焰纹章if,8.6
超级马里奥制造,9.0
阿提拉：全面战争,8.5
逆战,6.4
闪乱神乐忍乳负重,9.1
三国志汉末霸业,7.1
霸王2,8.5
德军总部,8.0
巫师,9.0
剪剪世界,9.2
血源2,--
极速骑行,--
异形：隔离,8.3
闪乱神乐少女们的证明,8.0
琼的最后一天,8.1
怪物猎人X,9.3
英雄传说：闪之轨迹2,8.7
手部模拟器,--
自由禁区,7.3
战场女武神,8.5
极品飞车15：变速2,8.0
小魔女学园,7.7
龙腾世纪：起源,9.1
叛乱沙漠风暴,--
金庸群侠传,9.5
剑侠情缘之谢云流传,--
拿破仑：全面战争,8.8
龙珠：怒气爆发2,7.5
新寂静岭,9.5
少数幸运儿,8.4
节奏光剑,9.0
刀剑神域：复刻计划,--
疯狂之冠,7.1
失落方舟,7.5
特殊行动：一线生机,8.3
无夜之国2,7.8
暗黑血统战神版,8.7
阿玛拉王国：惩罚,8.4
勿忘我,7.7
梦幻模拟战手游,9.3
打造世界,8.8
街头霸王4,8.1
合金装备4,9.4
阿凡达,6.6
沙滩排球女神假期,--
龙珠VR,8.9
FaceRig,--
上古卷轴5：龙裔,9.5
嗜血印,--
Poly Bridge,8.9
武林群侠传,9.5
这是警察2,8.2
无尽空间2,9.0
Ryse：罗马之子,7.6
地球Online,--
脱逃者,8.5
命运之手2,8.7
极限竞速6巅峰,8.5
战神1+2典藏版,9.2
轩辕剑外传：汉之云,7.6
战争机器,8.2
约会大作战,9.3
模拟人生2,8.5
波斯王子5,7.4
王国之心3,--
忍者龙剑传3,7.1
行尸走肉：米琼恩,8.4
蔑视,--
畸形,--
Rime,8.1
超级马里奥派对,9.5
Hob,8.6
植物大战僵尸Online,8.8
DQ英雄2,8.2
魔兽争霸3重制版,--
超级情圣,8.9
泰亚史诗,2.7
喷射侠,8.5
战神夜袭,8.4
三位一体,8.6
要塞：十字军东征2,8.8
428被封锁的涉谷,9.5
战争艺术赤潮,--
闪乱神乐沙滩戏水,9.2
双星物语2,8.9
杀手4：血钱,8.0
丧尸围城5,--
地痞街区,8.8
口袋铁拳锦标赛,9.1
乐高蝙蝠侠3,9.0
大航海时代4,9.5
龙珠英雄：终极任务,9.2
迷你忍者,7.9
ARMS,8.5
叛乱,9.3
尘埃2,8.9
苍龙城,--
史丹利的寓言,8.5
黑暗逃生,--
变形金刚：毁灭,8.6
QQ飞车,6.1
石炉,9.0
以撒的结合,8.7
潮汐之王,7.6
魂斗罗,8.5
超级弹丸论破2,9.2
口袋妖怪GO,8.5
WWE2K19,7.1
ELEX,6.8
报复,6.9
王者荣耀,7.7
英雄无敌3死亡阴影,9.5
腐烂国度周年版,8.9
魔兽争霸3：混乱之治,9.3
NBA 2K9,9.4
杀出重围3,8.8
复仇者联盟,--
燥热,8.7
FGO,9.3
航海王燃烧意志,--
火焰纹章：风花雪月,--
古墓丽影2重制版,9.1
巧克力与香子兰4,--
乐高都市卧底风云,8.1
变形金刚,3.8
最终幻想纷争,7.7
地球防卫军4.1,7.8
空之轨迹SC,9.4
NBA 2K11,8.7
命运,--
银河护卫队,8.3
龙之信条黑暗觉者,8.9
纸境奇缘文字大冒险,7.8
绝对绝望少女,7.7
足球经理2018,7.3
风起云涌2越南,8.8
堡垒,8.9
三角洲特种部队,8.7
星链：阿特拉斯之战,8.2
重力眩晕,8.7
苍翼神观之梦,8.4
AC4：自由呐喊,7.0
英雄萨姆3：BFE,7.6
三位一体2,8.8
光荣使命,7.6
Late Shift,8.0
F1 2017,8.1
世纪之石2,8.8
数码宝贝赛博侦探,9.2
魔界战记5,9.0
莎木1+2,7.8
生化奇兵,8.9
莎木3,--
军团1944,7.0
如龙极,9.2
玩具熊的五夜后宫4,8.9
爱丽丝：疯人院,--
FIFA 16,8.2
武装原型,9.1
剑灵,5.8
审判之眼,--
进击的巨人2,--
女武神驱动比丘尼,8.1
中世纪2：全面战争,9.1
战国无双真田丸,7.6
汐,6.5
永恒终焉,8.5
凯瑟琳Full Body,--
尼德霍格2,8.5
主题医院,9.5
半条命3,--
荣誉勋章：空降神兵,8.7
实况足球2013,9.1
黑色小队,8.1
马里奥赛车8,8.6
模拟人生3：步入未来,9.3
古惑狼三部曲,7.6
深夜廻,8.3
赛博朋克酒保行动,9.1
英雄连2：阿登突击,9.2
麦克斯：兄弟魔咒,8.5
奴役：奥德赛西游,8.1
纪元1800,--
末日余生,--
极品飞车13：变速,7.3
军团要塞2,8.7
情热传说,6.6
极品飞车12,7.5
索尼克力量,6.5
家园HD合集,9.0
轩辕剑：穹之扉,7.6
轩辕剑7,--
神秘海域,8.5
灭绝,--
恐怖僵尸之夜,8.9
柴堆,9.0
最终幻想9,9.5
星际战甲主机版,9.1
孤岛惊魂,8.0
孢子：银河冒险,8.6
海贼王无双2,--
兄弟：双子传说,8.8
暗影觉醒,7.5
宇宙主义,--
Fate/Empire of Dirt,--
鬼泣2,--
轩辕剑6,6.2
女神异闻录4：黄金版,9.5
幻想全明星,4.4
数码宝贝黑客记忆,9.2
英雄萨姆4：天煞孤星,--
Jump全明星乱斗,--
神力科莎,9.0
超大城市,7.3
NBA 2K Online2,--
黑道圣徒3完全版,9.1
黑暗与光明,9.3
龙珠Z：超神乱斗,7.4
NBA 2K12,8.0
星空,--
太鼓达人NS,7.3
战争机器5,--
P5：星夜热舞,--
小三角大英雄,--
SD高达G世纪起源,8.8
亡灵诡计,7.6
盟军敢死队深入敌后,9.6
魔能2,8.7
欧洲卡车模拟,--
菲斯,9.4
最终幻想7,8.8
欧陆风云4,9.4
战神：弑神自封,7.2
开拓者拥王者,7.8
蝙蝠侠阿甘骑士年度版,9.3
战舰世界,8.8
英雄连,9.0
乐高漫威超级英雄,8.9
帝国时代3,8.9
模拟狩猎,8.3
泰坦陨落3,--
蒸汽世界2,9.3
我的世界教育版,8.0
合金弹头2,9.4
质量效应：起源,--
FF13：雷霆归来,8.6
人间地狱,--
迪托之剑,--
Haydee,8.6
绝体绝命都市4,--
创世战车,8.2
奥丁领域重制版,9.5
数码宝贝全明星大乱斗,--
前进！奇诺比奥队长,8.7
天际起源,--
最终幻想16,--
荒野八人组,7.7
变形金刚：暗焰崛起,7.4
One Hand Clapping,--
NBA Live 19,--
战锤全面战争3,--
子弹风暴完全版,8.4
铁甲雄兵,7.8
上古卷轴OL,8.7
杀戮空间2,8.9
无主之地：前奏,8.3
拳皇97：全球对决,--
FIFA Online4,--
暴战机甲兵,--
合金装备崛起2,--
Angel Beats!,--
假面骑士：天唤骑兵！,9.2
三国群英传,8.7
超级房车赛：汽车运动,8.0
侠盗猎车手1,8.0
凡人修仙传单机版,4.0
NBA 2K 欢乐竞技场2,6.7
城市汽车驾驶,--
九张羊皮纸,7.9
为战而生,6.7
见证者,8.9
误造,8.6
三国群英传3,8.8
蜘蛛侠：时空边缘,8.9
赛车计划,8.6
上古卷轴4：湮没,9.0
战国无双5,--
异星工厂,9.1
霹雳小组4,9.1
蜘蛛侠：暗影之网,8.7
行星边际2,8.4
圣女战旗,--
火焰纹章Echoes,8.8
舞力全开2017,7.7
命运石之门0,9.4
大富翁4,8.8
FIFA 15,9.0
轩辕剑3外传：天之痕,9.3
东方帝国,8.3
真实农场,--
咒语力量3,7.2
潜行者普里皮亚季的召唤,9.3
少年骇客,--
上古卷轴5VR,--
荒野西部Online,--
三位一体3,7.9
命运之手,8.0
20XX,7.7
噬神者：复兴,8.3
犯罪少女：诱惑,8.0
传送门,9.2
收获日：掠夺,8.3
黑道圣徒2,8.1
观察者,8.0
F1 2016,8.7
夜勤人,7.6
枪界,7.8
初体计划,6.8
合金装备5终极版,9.2
赦免者,--
永恒空间,8.9
泰拉科技,8.7
神奇青蛙,--
光环4,9.3
光荣使命2,--
明日之后,--
生化危机启示录3,--
特技摩托：聚变,6.9
怪物猎人OL,5.5
还愿,--
异星迷航,7.6
约会大作战,--
凯瑟琳,9.5
塞尔达时之笛3D,9.3
漫画英雄VS卡普空3,9.1
失落的星球2,7.1
终极街头霸王4,8.6
古墓丽影7：传奇,8.7
刺客信条达芬奇工作室,--
寻找天堂,9.3
勇者斗恶龙建造者,9.2
进击的巨人最后之翼,--
实况足球2015,--
英雄传说：碧之轨迹,9.2
这是警察,8.2
魔法门之英雄无敌6,8.1
如龙极2,9.3
自由人：游击战争,8.5
海贼王：Grand Cruise,--
莉蒂与苏尔的工作室,8.4
天谕,5.3
空之轨迹3rd,8.9
战国BASARA4,6.7
辐射5,--
战争附言,--
不要停八分音符酱,--
虚幻争霸,--
总统先生,--
龙珠：融合,--
纳克2,8.2
血源年度版,9.4
轩辕剑4外传：苍之涛,9.4
轩辕剑4外传：苍之涛,9.4
时光之刃,7.8
愤怒的小鸟,8.1
超级房车赛：起点2,8.7
文明：太空,7.4
永恒之柱,9.4
崩坏3,9.4
荒野行动Plus,6.4
超级情圣2,--
